Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
11,2015,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,12.021542989659533,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
11,2015,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
12,2015,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,11.77524483901487,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
12,2015,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.01519610766703329,,12.083033973516851,
1,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.696887579180098,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
1,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
2,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,11.457983669801518,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
2,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
3,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,10.957680912110677,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
3,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
4,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.069460009741666,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
4,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
5,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.228188645352452,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
5,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
6,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.402329948122967,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
6,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
7,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,12.386279148723162,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
7,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
8,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.409546261508517,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
8,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
9,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.346834533925835,,14.34462816132313,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
9,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
10,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.170275519997292,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
10,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
11,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.345695125020432,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
11,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
12,2016,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.997301754915549,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
12,2016,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.4716999009678419,,12.083033973516851,
1,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.739809741757407,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
1,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
2,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,9.849552145298393,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
2,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
3,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.80997442248393,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
3,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
4,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,15.986150723235827,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
4,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
5,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.709468089509906,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
5,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
6,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.334023709138476,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
6,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
7,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.533084513781047,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
7,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
8,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.54199805921652,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
8,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.20323550313766284,,12.083033973516851,
9,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,10.766518527610234,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
9,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
10,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.93008162648469,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
10,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
11,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.52727805864649,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
11,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,0.0,
12,2017,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,12.702981828660619,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
12,2017,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
1,2018,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,12.661352802020959,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
2,2018,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,12.886368354879252,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
3,2018,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,15.013672317073214,,15.103792466896063,"As previously indicated, the Canadian portion of the Cochin pipeline has a higher nameplate capacity (110,000 bpd) as compared to the US portion of Cochin (95,000 bpd). Now that a new receipt point at Maxbass, ND has been placed into service, the Canadian Cochin capacity is 110,000 bpd and is no longer restricted by the US Cochin nameplate capacity of 95,000 barrels per day."
4,2018,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.918911447948648,,15.103792466896063,"As previously indicated, the Canadian portion of the Cochin pipeline has a higher nameplate capacity (110,000 bpd) as compared to the US portion of Cochin (95,000 bpd). Now that a new receipt point at Maxbass, ND has been placed into service, the Canadian Cochin capacity is 110,000 bpd and is no longer restricted by the US Cochin nameplate capacity of 95,000 barrels per day."
5,2018,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,12.603363470468091,,15.103792466896063,"As previously indicated, the Canadian portion of the Cochin pipeline has a higher nameplate capacity (110,000 bpd) as compared to the US portion of Cochin (95,000 bpd). Now that a new receipt point at Maxbass, ND has been placed into service, the Canadian Cochin capacity is 110,000 bpd and is no longer restricted by the US Cochin nameplate capacity of 95,000 barrels per day."
6,2018,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.691458932549802,,15.103792466896063,"As previously indicated, the Canadian portion of the Cochin pipeline has a higher nameplate capacity (110,000 bpd) as compared to the US portion of Cochin (95,000 bpd). Now that a new receipt point at Maxbass, ND has been placed into service, the Canadian Cochin capacity is 110,000 bpd and is no longer restricted by the US Cochin nameplate capacity of 95,000 barrels per day."
7,2018,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,15.177080478560562,,15.103792466896063,"As previously indicated, the Canadian portion of the Cochin pipeline has a higher nameplate capacity (110,000 bpd) as compared to the US portion of Cochin (95,000 bpd). Now that a new receipt point at Maxbass, ND has been placed into service, the Canadian Cochin capacity is 110,000 bpd and is no longer restricted by the US Cochin nameplate capacity of 95,000 barrels per day."
8,2018,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,14.42146517957068,,15.103792466896063,"As previously indicated, the Canadian portion of the Cochin pipeline has a higher nameplate capacity (110,000 bpd) as compared to the US portion of Cochin (95,000 bpd). Now that a new receipt point at Maxbass, ND has been placed into service, the Canadian Cochin capacity is 110,000 bpd and is no longer restricted by the US Cochin nameplate capacity of 95,000 barrels per day."
9,2018,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,9.534785703417796,,15.103792466896063,"As previously indicated, the Canadian portion of the Cochin pipeline has a higher nameplate capacity (110,000 bpd) as compared to the US portion of Cochin (95,000 bpd). Now that a new receipt point at Maxbass, ND has been placed into service, the Canadian Cochin capacity is 110,000 bpd and is no longer restricted by the US Cochin nameplate capacity of 95,000 barrels per day."
10,2018,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.817682741695386,,15.103792466896063,"As previously indicated, the Canadian portion of the Cochin pipeline has a higher nameplate capacity (110,000 bpd) as compared to the US portion of Cochin (95,000 bpd). Now that a new receipt point at Maxbass, ND has been placed into service, the Canadian Cochin capacity is 110,000 bpd and is no longer restricted by the US Cochin nameplate capacity of 95,000 barrels per day."
11,2018,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,8.777672333874579,,15.103792466896063,"As previously indicated, the Canadian portion of the Cochin pipeline has a higher nameplate capacity (110,000 bpd) as compared to the US portion of Cochin (95,000 bpd). Now that a new receipt point at Maxbass, ND has been placed into service, the Canadian Cochin capacity is 110,000 bpd and is no longer restricted by the US Cochin nameplate capacity of 95,000 barrels per day."
